S.No.,Compound Name,Smiles,IDO_IC50 (nM),IDO_pic50,TDO_IC50 (nM),TDO_pic50
1,"(-)-(R)-3-(5-fluoro-1H- indol-3-yl)pyrrolidine- 2,5-dione::US10945994, Compound 2::US9603836, Compound 2::US9949951, 2",Fc1ccc2[nH]cc([C@H]3CC(=O)NC3=O)c2c1,120,6.92,50000,4.3
2,"(1R,2s,3S,5s,7s)-5-(2-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-1-hydroxyethyl)adamantan-2-ol ::US10358451, Compound 17",OC1C2CC3CC1CC(C3)(C2)C(=O)CC1c2c(cccc2F)-c2cncn12,100,7,200,6.7
3,"(1s,3r,5R,7S)-3-(2-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-1-hydroxyethyl)adamantan-1-ol::US10358451, Compound 15d",OC12CC3CC(C1)CC(C3)(C2)C(=O)CC1c2c(cccc2F)-c2cncn12,100,7,200,6.7
4,"(1S,4S)-4-((R)-6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-N-(3-methoxyphenyl)cyclohexanecarboxamide::US10899764, Example 33",COc1cccc(NC(=O)[C@H]2CCC(CC2)[C@@H]2c3c(cccc3F)-c3cncn23)c1,36.1,7.44,184,6.74
5,"(2R)-3-(4-(4-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)phenyl)-1H-pyrazol-1-yl)propane-1,2-diol trifluoroacetate::US10899764, Example 30",CC1(C)OCC(Cn2cc(cn2)-c2ccc(cc2)N2CCC(CC2)C2c3c(cccc3F)-c3cncn23)O1,58.8,7.23,319,6.5
6,"(2S)-3-(4-(4-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)phenyl)-1H-pyrazol-1-yl)propane-1,2-diol::US10899764, Example 29",CC1(C)OC[C@H](Cn2cc(cn2)-c2ccc(cc2)N2CCC(CC2)C2c3c(cccc3F)-c3cncn23)O1,35.9,7.44,220,6.66
7,"1-((3r,5r,7r)-adamantan-1-yl)-2-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)ethanol::US10358451, Compound 15e",Fc1cccc2-c3cncn3C(CC(=O)C34CC5CC(CC(C5)C3)C4)c12,100,7,500,6.3
8,"1s,3r,5R,7S)-3-(1-hydroxy-2-(5H-imidazo[5,1-a]isoindol-5-yl)ethyl)adamantan-1-ol::US10358451, Compound 14f",OC12CC3CC(C1)CC(C3)(C2)C(=O)CC1c2ccccc2-c2cncn12,100,7,200,6.7
9,"2-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)-5-phenylthiazole trifluoroacetate::US10899764, Example 23",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ncc(Br)s3)c12,48.2,7.32,399,6.4
10,"2-(5H-imidazo[5,1-a]isoindol-5-yl)-1-(1-(2-nitro-4-(trifluoromethyl)phenyl)piperidin-4-yl)ethanol ::US10358451, Compound 9",OC(CC1c2ccccc2-c2cncn12)C1CCN(CC1)c1ccc(cc1[N+]([O-])=O)C(F)(F)F,500,6.3,200,6.7
11,"2-fluoro-4-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)benzonitrile::US10899764, Example 45",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ccc(C#N)c(F)c3)c12,8.84,8.05,234,6.63
12,"3-((tetrahydro-2H-pyran-4- yl)methyl)-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 7",FC(F)(F)c1cc(N2CCC3(CC2)NC(=O)N(CC2CCOCC2)C3=O)n2cncc2c1,1202,5.92,3981,5.4
13,"3-(5-fluoro-1H-indol-3- yl)pyrrolidine-2,5-dione::US10945994, Compound 1::US9603836, Compound 1::US9603836, Compound 1a::US9949951, 1a",Fc1ccc2[nH]cc(C3CC(=O)NC3=O)c2c1,150,6.82,50000,4.3
14,"3,6,6-trimethyl-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 10",CN1C(=O)NC2(CCN(CC2(C)C)c2cc(cc3cncn23)C(F)(F)F)C1=O,631,6.2,2692,5.57
15,"3-methyl-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 6",CN1C(=O)NC2(CCN(CC2)c2cc(cc3cncn23)C(F)(F)F)C1=O,1288,5.89,1820,5.74
16,"3-phenyl-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 9",FC(F)(F)c1cc(N2CCC3(CC2)NC(=O)N(C3=O)c2ccccc2)n2cncc2c1,263,6.58,1660,5.78
17,"4-(2-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-1-hydroxyethyl)bicyclo[2.2.2]octan-1-ol ::US10358451, Compound 16",OC(CC1c2c(cccc2F)-c2cncn12)C12CCC(O)(CC1)CC2,100,7,200,6.7
18,"4-(5-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)-1,3,4-thiadiazol-2-yl)pyridin-2-amine trifluoroacetate::US10899764, Example 36",COc1ccc(CNc2cc(ccn2)-c2nnc(s2)N2CCC(CC2)C2c3c(cccc3F)-c3cncn23)cc1,10.6,7.97,104,6.98
19,"5-(1-(3,4-difluorophenyl)piperidin-4-yl)-6-fluoro-5H-imidazo[5,1-a]isoindole::US10899764, Example 46",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ccc(F)c(F)c3)c12,6.68,8.18,68.9,7.16
20,"5-(1-(5-chloropyridin-2-yl)piperidin-4-yl)-6-fluoro-5H-imidazo[5,1-a]isoindole::US10899764, Example 47",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ccc(Cl)cn3)c12,7.23,8.14,195,6.71
