ATSC6p,ATSC5i,ATSC6i,AATSC6m,AATSC7m,AATSC8m,AATSC4v,AATSC6v,AATSC7v,AATSC8v,AATSC7i,AATSC8i,AATSC6s,AATSC7s,AATSC8s,MATS8m,MATS8e,MATS8s,GATS5c,GATS6c,GATS7c,GATS8c,GATS6m,GATS8m,GATS8v,GATS5e,GATS7e,GATS8e,GATS8p,GATS4s,GATS8s,VE3_DzZ,VE3_Dzs,BCUTc-1l,BCUTp-1h,SpMax5_Bhm,SpMax6_Bhm,SpMax5_Bhv,SpMin8_Bhe,SpMax3_Bhp,SpMax1_Bhs,SCH-7,VCH-7,SC-3,SC-5,CrippenLogP,nHBd,SHBint4,SHsOH,SsssCH,StsC,minHCsats,minsCH3,minssCH2,mindsCH,mindO,minsF,maxHBd,maxHBa,maxaaCH,IC2,IC3,CIC1,CIC3,MIC0,ZMIC1,ZMIC2,MLogP,MDEC-22,MDEC-33,MDEN-12,MDEN-23,MLFER_BH,MLFER_S,MLFER_E,MLFER_L,R_TpiPCTPC,nRotB,GGI3,GGI5,TopoPSA,XLogP,FP17,FP166,FP354,FP395,FP493,FP682,FP875,FP876,FP884,FP912,FP928,ExtFP48,ExtFP99,ExtFP354,ExtFP374,ExtFP579,ExtFP685,ExtFP704,ExtFP819,ExtFP924,ExtFP931,ExtFP993,ExtFP996,GraphFP21,GraphFP73,GraphFP149,GraphFP170,GraphFP356,GraphFP402,GraphFP453,GraphFP458,GraphFP641,GraphFP780,GraphFP1016,KRFP1566,AD2D627,AD2D628,Activity
-1.496461405,13.64979284,-17.79611738,-2.583731086,4.689444636,-3.63326894,-5.307370904,-5.030618665,-0.818592242,-3.466446907,-0.276926,0.061152576,-0.116812188,-0.104426891,0.353933193,-0.072607747,0.152313086,0.251083156,0.840068842,1.095810783,1.199252204,0.77913812,0.827615096,1.214193835,1.097048827,0.706260758,0.879796987,0.911511446,1.075735511,0.914019662,0.798893858,-5.870996955,-6.843824658,-0.341483999,10.55065523,3.247516664,3.089211716,3.082600035,0.800893971,3.704429079,4.838951229,0.807441968,0.171926949,1.826352792,0.49759976,6.21136,2,0.165616893,0,0,0,0.403584708,2.056625067,0.838031927,0,0,13.56872891,0.547128488,13.56872891,2.002350358,4.629412138,5.083127836,1.485448907,0.343136919,19.99036789,42.90070372,31.33583574,2.89,7.422463849,12.96669324,0.6082202,0,2.017,3.101,3.275,15.734,14.64834637,4,2.263888889,1.059722222,76.97,4.064,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.534928576,43.89041441,4.314263994,-15.80733503,13.19905645,12.31509243,-5.298578495,-1.252492437,2.684408658,-0.881255303,-1.482968195,-1.0993022,-1.56837097,-0.15587303,0.320028932,0.323381407,0.190189978,0.055420815,0.534006716,0.946441237,1.09755836,0.709011648,1.490477269,0.835568131,0.954970783,0.701989449,0.804906389,1.084124278,1.152908532,0.921246875,1.246368962,-4.970897753,-4.053090461,-0.338461629,10.04619963,2.953741289,2.822847159,2.801913152,0.37705384,3.152944803,5.384572788,0.714312643,0.126874143,2.803355751,0.740447925,4.29677,2,0,0,0,0,0,0,0,0,0,12.72384048,0.645376551,13.50507989,1.383729804,4.478232197,4.736296714,1.068368241,0.217899597,21.91130838,41.01178995,32.09354755,2.01,2.913638687,9.519267455,0.516397779,0,1.486,2.355,1.872,10.417,8.944265998,3,2.638888889,0.746944444,64.08,3.618,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
-4.580290601,-13.30709989,-26.85830986,-5.69784653,-8.967304198,-1.444611907,-3.176955878,-9.090447333,-6.280464257,-3.235235014,-0.215931603,0.052636411,-0.042568084,-0.011819124,0.060311468,-0.032194846,0.210160581,0.141454222,0.988240941,1.089665624,1.339025843,0.658087322,1.234705386,0.864620735,1.07272908,0.924818698,1.245754683,0.744072328,0.929642388,0.899449627,0.872439901,-3.731085275,-7.308810859,-0.312923225,13.06133779,3.084113402,2.879185199,2.969317961,0.798620231,3.720025951,4.060749842,0.719823234,0.320757799,1.439499261,0.330933093,5.8831,2,0,0,0,0,0,2.032925485,0,0,0,0,0.406520206,6.453401623,2.21231198,4.089889359,4.802554748,2.13506564,0.554997256,14.63623882,53.32220949,33.68589429,3.22,12.36369992,10.42554345,0.40824829,0,1.775,2.825,3.521,15.196,15.39587531,3,1.888888889,0.941666667,79.18,5.3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.379760465,12.55358854,2.591281328,-5.224352636,-3.834395795,0.943404275,-5.947970101,-3.620606675,-6.877253369,1.294184007,-0.269137559,-0.080764131,-0.116071429,-0.059618292,-0.03261923,0.028740591,-0.025064703,-0.053864098,0.914054691,0.999609337,0.688739974,0.55267165,1.1412919,1.09616848,1.082963212,0.919403288,0.935983439,0.759808404,1.008673738,1.020477416,0.968092977,-2.639434454,-2.672439936,-0.34178229,9.990354374,2.654415721,2.619181914,2.645815032,0.232932165,3.133202588,4.135518304,0.574367103,0.104664635,0.878658599,0.219821982,3.67978,2,0,0,0,0,0,0,0,0,0,0,0.576028557,5.844225246,1.971689815,3.869331261,4.351823226,1.723737947,0.455531697,14.28162076,36.90741884,26.81515569,2.45,8.131911119,5.296119205,0.516397779,0,1.701,2.407,2.4,10.565,9.832875397,2,1.326388889,0.448333333,64.08,2.412,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1
-2.9563038,20.40813556,-29.0179314,-9.436086416,-0.731919145,3.20177271,-2.595224227,-10.00051291,-4.820631724,7.536199448,-0.458574343,0.104719367,-0.374741803,-0.092951059,-0.244680491,0.091108438,-0.01472246,-0.071801849,0.859477586,1.119100882,1.056022326,0.85345026,1.200698715,1.142509247,0.922056383,0.781943865,1.021969294,1.172241576,0.874781269,0.838188948,1.338508806,-3.780773106,-4.683626465,-0.341474272,10.40494754,3.01523891,2.881479022,2.867327884,0.791253927,3.666931988,4.936333325,0.784430104,0.141636172,1.910903782,0.49759976,5.27376,2,6.488447283,0,0,0,0,0,0,0,0,13.09436486,0.602532793,14.08126328,1.655133747,4.262979041,4.831074987,1.595122973,0.378378378,19.28679,48.5434133,36.83473001,2.56,5.965358006,13.99919676,0.6082202,0,1.987,3.094,2.896,13.951,14.46297459,3,2.138888889,1.132777778,76.97,3.416,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
-1.268677515,22.65342314,-16.65320388,-4.914182194,9.193415402,1.830372122,-4.881050669,-6.296023428,1.182737449,6.386029345,-0.273061583,0.164611113,-0.187816593,0.041823319,0.496578267,0.038034825,0.214790262,0.264270198,0.889807202,1.153437365,0.954006233,0.83019273,0.895466602,1.228579247,0.974409527,0.836994927,0.707117007,0.845382866,0.998082335,0.950289047,0.814462385,-6.744005498,-5.374229972,-0.341662292,10.52463771,3.265512535,3.123333227,3.043352702,0.798620231,3.746350295,4.736635866,0.807441968,0.173731924,1.826352792,0.49759976,6.12557,2,0.162989205,0,0,2.094603644,0,0,0,0,0,13.54598626,0.556260719,13.54598626,1.820359617,4.413607347,4.855789719,1.571390064,0.4296125,20.65640695,47.93193884,33.16976066,2.89,9.56070334,12.48403057,0.70268821,0,1.831,3.427,3.441,15.873,15.77986922,3,2.138888889,1.059722222,87.87,3.953,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
-2.061915514,19.20618871,-19.1252525,-2.992085791,6.225331675,-3.433225808,-5.783012449,-6.36749474,0.501809047,-2.098786465,-0.228232005,0.06225076,-0.10745589,-0.098660548,0.392305211,-0.068295296,0.160560059,0.268846389,0.818143435,1.023655599,1.166881406,0.74040742,0.830481379,1.232921793,1.078948617,0.713825378,0.859455459,0.89344885,1.042624886,0.898812115,0.803168337,-5.168004791,-4.620681292,-0.373951874,10.53649485,3.243315639,3.027993639,2.952288831,0.800956142,3.72372761,4.786911466,0.807441968,0.171183266,1.826352792,0.49759976,5.85737,2,0.165979156,0,0,0,0,1.619125067,0,0,0,13.56362687,0.553301327,13.56362687,1.935405913,4.564820101,5.18386772,1.619978572,0.208449702,20.73360168,48.03053201,30.56995525,2.89,7.801235773,12.96669324,0.516397779,0,1.918,3.113,3.311,15.49,14.64834637,4,2.263888889,1.059722222,73.31,4.161,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
0.113644456,2.382534393,7.956633784,-4.659019142,15.252499,-7.504462314,-5.079103019,-4.908232584,6.905692406,-0.787688482,-0.287265934,-0.22469022,-0.221053626,-0.272639526,0.717277938,-0.142539918,0.185121711,0.303821179,0.835709105,0.909469078,0.873147106,0.675570852,0.939255609,1.731808053,1.16447333,0.648149405,0.767800481,1.09464665,1.303334336,0.872206071,1.027419357,-3.998175057,-3.31397914,-0.34027835,10.28938991,3.091291564,2.899332931,2.807161474,0.366400593,3.225738042,4.762754832,0.715118568,0.145954146,1.486145884,0.442044204,4.41017,2,0.177832549,0,0,1.95971841,0,0,0,0,0,13.33407897,0.590380015,13.33407897,1.739370022,4.444187892,4.720049961,0.909121654,0.137931034,23.84283829,34.28255579,28.08401997,2.23,3.751606113,9.519267455,0.986777073,0,1.749,2.985,2.569,12.509,10.7271189,2,1.888888889,0.701944444,87.87,1.992,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
1.205537148,9.499585644,10.83608578,-3.015800561,15.72594199,-9.961002595,-12.13012152,-0.399249766,4.799316047,-6.660065492,-0.129182007,-0.301643204,-0.180051024,-0.016818188,0.079301423,-0.179917797,-0.120374237,0.140572658,0.83863816,1.326525658,0.601978085,0.720257068,0.869084347,1.615518569,1.199937332,0.889478949,0.644721156,1.088302056,1.303744783,0.979515406,0.636683258,-3.601178255,-2.711132765,-0.341788551,10.15190577,2.958937883,2.729252179,2.720731816,0.466623869,3.152625486,4.160172853,0.686393605,0.151988756,1.35006312,0.386488649,4.3612,2,0.313920194,0,0,0,0,2.130570151,0,0,0,0,0.561657415,5.922401424,2.164762517,4.349199939,4.671780585,1.194179033,0.282415726,19.45974611,33.08345135,25.60238349,2.45,4.046488119,7.478012285,0.516397779,0,1.651,2.478,2.543,11.839,9.570767999,2,1.701388889,0.503888889,64.08,2.409,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1
1.314185114,39.78616914,8.630632406,-9.07361589,13.43191426,-22.70803691,-4.991043651,-2.252359777,4.221976148,-1.029986792,-0.971605322,-0.89121161,-0.738908863,-0.369427622,-0.664712855,-0.409453083,-0.317568124,-0.157083215,0.573527985,0.994839967,0.851341768,0.943101637,1.050587018,2.027643661,1.121316784,0.548233623,1.003172878,1.741885368,1.28156266,0.821460114,1.742703732,-3.524037744,-2.818045203,-0.338451779,10.0870129,2.98314916,2.839812083,2.73144671,0.223829529,3.154583096,4.991727104,0.76815686,0.143872157,1.843856612,0.470227868,4.41157,2,0.159474064,0,0,0,0,0,0,0,0,13.23811686,0.628361875,13.52495643,1.615867959,4.307354922,4.664497779,1.053920536,0.142857143,26.81501322,41.16253855,31.25306051,2.01,1.930978769,11.58617531,0.516397779,0,1.561,2.612,2.181,11.306,9.566751085,2,2.076388889,0.639444444,64.08,2.944,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
