S.No,Cell_Line,Drug_Name,Pubchem_CID,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm,Labels
1,HCC-78,Gemcitabine,60750,0,0,0,0,0,4,0,-2,263.2,10.474,422.633,83.722,224.38,55.808,58.723,713.889,4,9.1,0.1536791,0.0430634,0.9140202,20.38,7.575,19.763,16.602,-1.275,-1.764,-1.714,-3.189,73.808,-1.324,62.028,-5.074,9.324,0.319,3,-0.785,2,52.918,58.723,0,118.679,7,0,11,0,11,4,18,0,0.038,Active
2,HCC-78,SN-38,104842,0,0,0,0,0,4,0,-2,392.41,10.243,630.114,280.223,196.002,153.888,0,1145.965,2,8.5,0.0915551,0.0190772,0.8404788,38.609,11.788,21.69,14.035,1.702,-4.173,-4.868,-4.847,137.154,-1.527,57.78,-4.206,8.959,1.581,5,-0.041,3,75.163,0,0,120.406,7,0,21,0,21,3,29,0,0.002,Active
3,HCC-78,NSC319726,42640,1,1,0,0,0,1,1,-1,279.255,9.083,484.329,220.637,191.109,72.582,0,835.386,0,7,0.0987559,0,0.8856925,27.329,7.93,14.12,9.353,-0.429,-0.348,-1.348,-4.454,38.064,-0.722,15.993,-6.753,9.703,2.67,2,-0.872,2,52.724,0,0,107.776,9,0,15,0,15,4,20,0,0.022,Active
4,HCC-78,Docetaxel,148124,7,0,0,0,0,13,3,-2,807.89,8.913,1033.689,486.7,238.522,308.467,0,2219.947,4,17.35,0.035788,0.0335691,0.7961656,77.287,22.994,42.627,26.008,4.329,-6.354,-8.889,-6.301,54.2,-2.729,21.181,-3.581,9.838,0.659,8,0.586,1,57.408,0,0,229.865,15,2,29,4,22,13,58,2,0,Active
5,HCC-78,Vinblastine,6710780,7,3,0,0,0,8,1,1,810.986,1.491,1046.739,693.348,148.62,204.771,0,2251.257,2,12.25,0.0009879,0.0165506,0.7936155,80.76,21.455,37.261,17.873,5.781,-5.529,-8.453,-8.027,5.987,-0.695,2.651,-6.894,8.23,0.085,6,1.885,2,35.831,0,0,146.003,13,3,38,0,34,18,59,1,0,Active
6,HCC-78,Panobinostat,6918837,0,1,0,0,0,9,2,-2,349.432,8.483,672.594,198.58,177.325,296.688,0,1179.524,4,5.7,0.0610103,0.0169493,0.8026945,38.105,13.438,22.325,14.05,2.36,-3.381,-3.677,-6.866,51.431,-1.415,22.142,-4.941,8.191,0.718,4,0.131,3,71.39,0,0,92.387,5,0,15,0,15,0,26,0,0.002,Active
7,HCC-78,Omipalisib,25167777,0,0,0,0,0,6,0,-2,505.498,5.598,757.975,97.1,142.631,440.826,77.419,1396.467,1,9.5,0.0224413,0.0125334,0.7971325,50.09,15.083,24.272,15.038,3.86,-5.819,-7.335,-6.917,439.88,-1.105,540.677,-2.019,8.762,1.579,5,0.235,3,83.897,77.419,0,107.658,8,1,28,0,28,0,36,1,0.007,Active
8,HCC-78,CCT245232,117996541,1,0,0,0,0,4,0,-1,453.496,7.446,790.314,283.716,102.386,404.211,0,1403.884,2,7.5,0.0394915,0.0134207,0.7672197,51.321,15.492,24.59,14.501,4.562,-7.154,-6.816,-7.226,1059.187,-0.837,526.432,-1.599,8.662,1.154,3,0.73,1,100,0,0,98.023,7,0,26,0,26,2,34,1,0.001,Active
9,HCC-78,Camptothecin,24360,0,0,0,0,0,2,0,-1,348.357,9.989,574.226,187.073,141.941,245.213,0,1025.093,1,7.75,0.0973283,0.0134964,0.8562308,35.928,10.72,18.935,12.392,1.742,-3.663,-4.28,-5.028,446.558,-0.848,206.971,-3.08,9.066,1.632,3,-0.163,3,84.574,0,0,97.976,6,0,21,0,21,3,26,0,0.063,Active
10,HCC-78,ARRY-520,44224257,0,1,0,0,1,5,1,1,420.476,3.673,666.999,200.934,98.886,274.061,93.117,1226.263,2,5.7,0.0110004,0.0120855,0.8306708,42.328,12.406,20.508,12.636,3.295,-4.068,-4.682,-4.931,206.59,-0.066,456.364,-3.959,8.923,0.785,3,0.274,3,87.673,69.517,17.582,73.946,6,0,17,0,17,1,29,0,0.004,Active
11,HCC-78,Dactinomycin,457193,14,0,0,0,8,29,2,-2,1255.432,12.752,1424.295,1153.566,199.827,70.902,0,3303.167,2,32.5,0.0492316,0.03227,0.7530993,108.095,29.65,58.154,40.547,-0.456,-0.755,-6.94,5.13,22.205,-3.533,52.793,-2.168,8.419,1.608,13,-3.261,1,9.501,0,94.786,351.694,28,3,24,0,24,8,90,2,1499.233,Active
12,HCC-78,Dacinostat,6445533,0,1,0,0,0,12,2,-2,379.458,6.564,703.279,159.246,206.388,337.646,0,1247.334,4,7.9,0.0345411,0.0224662,0.7968176,39.284,14.593,23.666,16.105,1.822,-2.874,-3.515,-7.156,27.266,-1.928,11.151,-5.044,8.28,0.72,4,-0.149,2,63.311,0,0,104.839,6,0,15,0,15,0,28,0,0.005,Active
13,HCC-78,Vinorelbine,5311497,8,3,0,0,0,7,1,1,778.944,4.653,1070.23,752.697,96.165,221.367,0,2227.775,1,11.5,0.0097203,0.0107454,0.7707893,80.621,21.114,35.106,15.703,6.418,-6.351,-8.359,-8.475,18.822,-0.14,9.143,-5.965,8.263,0.135,8,1.993,1,48.463,0,0,127.367,12,3,37,0,34,15,57,3,0,Active
14,HCC-78,Trichostatin A,444732,0,0,0,0,0,8,2,-2,302.372,9.947,630.76,332.645,170.369,127.746,0,1079.77,2,7.2,0.0916253,0.016143,0.8069658,33.142,10.767,18.626,11.521,1.92,-3.908,-2.929,-5.265,240.043,-1.663,105.807,-3.441,8.437,0.357,3,-0.182,3,80.789,0,0,94.449,5,0,6,0,6,0,22,0,0.014,Active
15,HCC-78,Bryostatin 1,5280757,14,0,0,0,0,26,7,-2,905.044,10.079,1318.068,976.195,283.72,58.153,0,2671.994,3,17.1,0.0380154,0.0224708,0.706509,84.64,26.746,42.59,20.718,6.601,-9.05,-10.783,-6.558,20.202,-4.793,7.289,-4.047,9.633,0.732,10,1.117,1,50.084,0,0,244.758,17,3,18,0,18,13,64,3,0,Active
